datetime,high,low,open,close,volume
20171023  09:30:00,2576.75,2573.0,2576.75,2574.75,106243
20171023  10:00:00,2575.0,2572.0,2575.0,2573.0,86848
20171023  10:30:00,2574.0,2571.75,2573.0,2572.25,44527
20171023  11:00:00,2573.75,2572.0,2572.0,2573.25,31945
20171023  11:30:00,2573.25,2570.25,2573.0,2571.75,56523
20171023  12:00:00,2572.0,2570.5,2571.75,2571.5,32986
20171023  12:30:00,2572.25,2570.75,2571.5,2572.25,27786
20171023  13:00:00,2572.5,2570.5,2572.25,2571.25,26053
20171023  13:30:00,2571.5,2568.75,2571.0,2570.0,52625
20171023  14:00:00,2570.25,2567.25,2570.0,2568.75,66724
20171023  14:30:00,2569.0,2566.5,2568.5,2568.25,44148
20171023  15:00:00,2568.5,2564.0,2568.5,2565.0,89708
20171023  15:30:00,2566.0,2562.0,2565.0,2563.5,266869
20171023  16:00:00,2564.75,2562.75,2563.75,2563.0,98589
20171023  16:30:00,2563.5,2561.5,2563.0,2563.25,13453
20171024  09:30:00,2569.25,2563.25,2567.5,2563.5,149902
20171024  10:00:00,2566.5,2563.25,2563.75,2566.25,73091
20171024  10:30:00,2567.25,2564.75,2566.25,2566.5,39899
20171024  11:00:00,2568.25,2566.5,2566.75,2567.75,37875
20171024  11:30:00,2569.0,2566.75,2567.75,2568.0,47300
20171024  12:00:00,2568.75,2567.25,2567.75,2568.0,22180
20171024  12:30:00,2568.75,2567.5,2568.0,2567.75,23231
20171024  13:00:00,2568.25,2566.75,2567.75,2567.75,27543
20171024  13:30:00,2569.0,2567.5,2567.75,2568.5,28969
20171024  14:00:00,2570.25,2567.75,2568.5,2569.5,28203
20171024  14:30:00,2570.25,2566.75,2569.75,2567.5,50268
20171024  15:00:00,2568.5,2564.25,2567.75,2565.75,111048
20171024  15:30:00,2567.75,2565.0,2565.5,2567.5,134281
20171024  16:00:00,2567.75,2566.5,2567.5,2567.0,54445
20171024  16:30:00,2567.0,2564.5,2566.75,2565.0,9450
20171025  09:30:00,2565.0,2559.25,2563.75,2559.75,154140
20171025  10:00:00,2562.0,2556.0,2559.75,2558.0,142388
20171025  10:30:00,2558.25,2552.25,2558.0,2554.5,152739
20171025  11:00:00,2554.5,2546.25,2554.5,2549.75,254058
20171025  11:30:00,2552.25,2547.0,2549.75,2549.0,145961
20171025  12:00:00,2549.0,2542.0,2548.75,2542.25,184192
20171025  12:30:00,2548.75,2541.5,2542.25,2548.0,115707
20171025  13:00:00,2550.0,2546.25,2548.0,2547.5,79390
20171025  13:30:00,2553.25,2547.5,2547.5,2552.75,75865
20171025  14:00:00,2556.25,2552.5,2552.75,2555.25,83729
20171025  14:30:00,2555.5,2551.25,2555.25,2553.25,70245
20171025  15:00:00,2557.5,2552.25,2553.25,2557.0,78234
20171025  15:30:00,2557.0,2550.75,2556.75,2554.75,237282
20171025  16:00:00,2558.75,2554.75,2554.75,2558.75,117093
20171025  16:30:00,2559.75,2558.5,2558.75,2559.5,10906
20171026  09:30:00,2563.75,2560.0,2561.75,2562.0,137153
20171026  10:00:00,2562.5,2557.25,2562.0,2559.5,98054
20171026  10:30:00,2563.5,2558.75,2559.75,2563.0,97320
20171026  11:00:00,2565.0,2558.5,2563.0,2561.25,139375
20171026  11:30:00,2562.5,2559.75,2561.25,2560.75,60544
20171026  12:00:00,2563.25,2560.75,2560.75,2562.75,36384
20171026  12:30:00,2563.0,2558.25,2562.75,2559.5,51271
